ClassName,MethodName,ReturnType,AccessLevel,Static,Async,Parameters
"ShowExample","Update","void","private",False,False,""
"Triangle","Triangle","«ctor»","public",False,False,"int index; int v0; int v1; int v2; int subMeshIndex"
"Triangle","GetAttributeIndices","void","public",False,False,"int[] attributeIndices"
"Triangle","SetAttributeIndex","void","public",False,False,"int index; int value"
"Triangle","GetErrors","void","public",False,False,"double[] err"
"Triangle","GetHashCode","int","public",False,False,""
"Triangle","Equals","bool","public",False,False,"object obj"
"Triangle","Equals","bool","public",False,False,"Triangle other"
"Ref","Set","void","public",False,False,"int tid; int tvertex"
"BorderVertex","BorderVertex","«ctor»","public",False,False,"int index; int hash"
"BorderVertexComparer","Compare","int","public",False,False,"BorderVertex x; BorderVertex y"
"BlendShapeFrameContainer","BlendShapeFrameContainer","«ctor»","public",False,False,"BlendShapeFrame frame"
"BlendShapeFrameContainer","MoveVertexElement","void","public",False,False,"int dst; int src"
"BlendShapeFrameContainer","InterpolateVertexAttributes","void","public",False,False,"int dst; int i0; int i1; int i2; ref Vector3 barycentricCoord"
"BlendShapeFrameContainer","Resize","void","public",False,False,"int length; bool trimExess = false"
"BlendShapeFrameContainer","ToBlendShapeFrame","BlendShapeFrame","public",False,False,""
"UnityLogger","LogVerbose","void","public",False,False,"string text"
"UnityLogger","LogWarning","void","public",False,False,"string text"
"UnityLogger","LogError","void","public",False,False,"string text"
"BlendShapeContainer","BlendShapeContainer","«ctor»","public",False,False,"BlendShape blendShape"
"BlendShapeContainer","MoveVertexElement","void","public",False,False,"int dst; int src"
"BlendShapeContainer","InterpolateVertexAttributes","void","public",False,False,"int dst; int i0; int i1; int i2; ref Vector3 barycentricCoord"
"BlendShapeContainer","Resize","void","public",False,False,"int length; bool trimExess = false"
"BlendShapeContainer","ToBlendShape","BlendShape","public",False,False,""
"Vector3d","Vector3d","«ctor»","public",False,False,"double value"
"Vector3d","Vector3d","«ctor»","public",False,False,"double x; double y; double z"
"Vector3d","Vector3d","«ctor»","public",False,False,"Vector3 vector"
"Vector3d","Set","void","public",False,False,"double x; double y; double z"
"Vector3d","Scale","void","public",False,False,"ref Vector3d scale"
"Vector3d","Normalize","void","public",False,False,""
"Vector3d","Clamp","void","public",False,False,"double min; double max"
"Vector3d","GetHashCode","int","public",False,False,""
"Vector3d","Equals","bool","public",False,False,"object obj"
"Vector3d","Equals","bool","public",False,False,"Vector3d other"
"Vector3d","ToString","string","public",False,False,""
"Vector3d","ToString","string","public",False,False,"string format"
"Vector3d","Dot","double","public",True,False,"ref Vector3d lhs; ref Vector3d rhs"
"Vector3d","Cross","void","public",True,False,"ref Vector3d lhs; ref Vector3d rhs; out Vector3d result"
"Vector3d","Angle","double","public",True,False,"ref Vector3d from; ref Vector3d to"
"Vector3d","Lerp","void","public",True,False,"ref Vector3d a; ref Vector3d b; double t; out Vector3d result"
"Vector3d","Scale","void","public",True,False,"ref Vector3d a; ref Vector3d b; out Vector3d result"
"Vector3d","Normalize","void","public",True,False,"ref Vector3d value; out Vector3d result"
"SymmetricMatrix","SymmetricMatrix","«ctor»","public",False,False,"double c"
"SymmetricMatrix","SymmetricMatrix","«ctor»","public",False,False,"double m0; double m1; double m2; double m3; double m4; double m5; double m6; double m7; double m8; double m9"
"SymmetricMatrix","SymmetricMatrix","«ctor»","public",False,False,"double a; double b; double c; double d"
"SymmetricMatrix","Determinant1","double","internal",False,False,""
"SymmetricMatrix","Determinant2","double","internal",False,False,""
"SymmetricMatrix","Determinant3","double","internal",False,False,""
"SymmetricMatrix","Determinant4","double","internal",False,False,""
"SymmetricMatrix","Determinant","double","public",False,False,"int a11; int a12; int a13; int a21; int a22; int a23; int a31; int a32; int a33"
"MathHelper","Min","double","public",True,False,"double val1; double val2; double val3"
"MathHelper","Clamp","double","public",True,False,"double value; double min; double max"
"MathHelper","TriangleArea","double","public",True,False,"ref Vector3d p0; ref Vector3d p1; ref Vector3d p2"
"SerializedPropertyExtensions","GetChildProperties","IEnumerable<SerializedProperty>","public",True,False,"this SerializedProperty property"
"LODGeneratorHelperEditor","OnEnable","void","private",False,False,""
"LODGeneratorHelperEditor","OnInspectorGUI","void","public",False,False,""
"LODGeneratorHelperEditor","DrawGeneratedView","void","private",False,False,""
"LODGeneratorHelperEditor","DrawNotGeneratedView","void","private",False,False,""
"LODGeneratorHelperEditor","DrawSimplificationOptions","void","private",False,False,""
"LODGeneratorHelperEditor","DrawLevel","void","private",False,False,"int index; SerializedProperty levelProperty; bool hasCrossFade"
"LODGeneratorHelperEditor","DrawRendererList","void","private",False,False,"SerializedProperty renderersProperty; float availableWidth"
"LODGeneratorHelperEditor","DrawRendererButton","void","private",False,False,"Rect position; SerializedProperty renderersProperty; int rendererIndex; Renderer renderer"
"LODGeneratorHelperEditor","HandleAddRenderer","void","private",False,False,"Rect position; Rect listArea; SerializedProperty renderersProperty"
"LODGeneratorHelperEditor","AddRenderers","void","private",False,False,"SerializedProperty renderersProperty; IEnumerable<Renderer> renderers; bool append"
"LODGeneratorHelperEditor","CreateLevel","void","private",False,False,""
"LODGeneratorHelperEditor","DeleteLevel","void","private",False,False,"int index"
"LODGeneratorHelperEditor","GenerateLODs","void","private",False,False,""
"LODGeneratorHelperEditor","DestroyLODs","void","private",False,False,""
"LODGeneratorHelperEditor","VisibilitySettingsHaveChanged","bool","private",False,False,""
"LODGeneratorHelperEditor","CopyVisibilityChanges","void","private",False,False,""
"LODGeneratorHelperEditor","GetRenderers","Renderer[]","private",False,False,"IEnumerable<GameObject> gameObjects; bool searchChildren"
"LODGeneratorHelperEditor","MarkSceneAsDirty","void","private",False,False,""
"LODGeneratorHelperEditor","DisplayError","void","private",True,False,"string title; string message; string ok; Object context"
"LODGeneratorHelper","Reset","void","private",False,False,""
"UVChannels","UVChannels","«ctor»","public",False,False,""
"UVChannels","Resize","void","public",False,False,"int capacity; bool trimExess = false"
"ResizableArray","ResizableArray","«ctor»","public",False,False,"int capacity"
"ResizableArray","ResizableArray","«ctor»","public",False,False,"int capacity; int length"
"ResizableArray","IncreaseCapacity","void","private",False,False,"int capacity"
"ResizableArray","Clear","void","public",False,False,""
"ResizableArray","Resize","void","public",False,False,"int length; bool trimExess = false"
"ResizableArray","TrimExcess","void","public",False,False,""
"ResizableArray","Add","void","public",False,False,"T item"
"ConsoleLogger","LogVerbose","void","public",False,False,"string text"
"ConsoleLogger","LogWarning","void","public",False,False,"string text"
"ConsoleLogger","LogError","void","public",False,False,"string text"
"Vector4i","Vector4i","«ctor»","public",False,False,"int value"
"Vector4i","Vector4i","«ctor»","public",False,False,"int x; int y; int z; int w"
"Vector4i","Set","void","public",False,False,"int x; int y; int z; int w"
"Vector4i","Scale","void","public",False,False,"ref Vector4i scale"
"Vector4i","Clamp","void","public",False,False,"int min; int max"
"Vector4i","GetHashCode","int","public",False,False,""
"Vector4i","Equals","bool","public",False,False,"object other"
"Vector4i","Equals","bool","public",False,False,"Vector4i other"
"Vector4i","ToString","string","public",False,False,""
"Vector4i","ToString","string","public",False,False,"string format"
"Vector4i","Scale","void","public",True,False,"ref Vector4i a; ref Vector4i b; out Vector4i result"
"Vector3d","Vector3d","«ctor»","public",False,False,"double value"
"Vector3d","Vector3d","«ctor»","public",False,False,"double x; double y; double z"
"Vector3d","Vector3d","«ctor»","public",False,False,"Vector3 vector"
"Vector3d","Set","void","public",False,False,"double x; double y; double z"
"Vector3d","Scale","void","public",False,False,"ref Vector3d scale"
"Vector3d","Normalize","void","public",False,False,""
"Vector3d","Clamp","void","public",False,False,"double min; double max"
"Vector3d","GetHashCode","int","public",False,False,""
"Vector3d","Equals","bool","public",False,False,"object other"
"Vector3d","Equals","bool","public",False,False,"Vector3d other"
"Vector3d","ToString","string","public",False,False,""
"Vector3d","ToString","string","public",False,False,"string format"
"Vector3d","Dot","double","public",True,False,"ref Vector3d lhs; ref Vector3d rhs"
"Vector3d","Cross","void","public",True,False,"ref Vector3d lhs; ref Vector3d rhs; out Vector3d result"
"Vector3d","Angle","double","public",True,False,"ref Vector3d from; ref Vector3d to"
"Vector3d","Lerp","void","public",True,False,"ref Vector3d a; ref Vector3d b; double t; out Vector3d result"
"Vector3d","Scale","void","public",True,False,"ref Vector3d a; ref Vector3d b; out Vector3d result"
"Vector3d","Normalize","void","public",True,False,"ref Vector3d value; out Vector3d result"
"ValidateSimplificationOptionsException","ValidateSimplificationOptionsException","«ctor»","public",False,False,"string propertyName; string message"
"ValidateSimplificationOptionsException","ValidateSimplificationOptionsException","«ctor»","public",False,False,"string propertyName; string message; Exception innerException"
"Vertex","Vertex","«ctor»","public",False,False,"int index; Vector3d p"
"Vertex","GetHashCode","int","public",False,False,""
"Vertex","Equals","bool","public",False,False,"object obj"
"Vertex","Equals","bool","public",False,False,"Vertex other"
"UVChannels","UVChannels","«ctor»","public",False,False,""
"UVChannels","Resize","void","public",False,False,"int capacity; bool trimExess = false"
"Vector2","Vector2","«ctor»","public",False,False,"float value"
"Vector2","Vector2","«ctor»","public",False,False,"float x; float y"
"Vector2","Set","void","public",False,False,"float x; float y"
"Vector2","Scale","void","public",False,False,"ref Vector2 scale"
"Vector2","Normalize","void","public",False,False,""
"Vector2","Clamp","void","public",False,False,"float min; float max"
"Vector2","GetHashCode","int","public",False,False,""
"Vector2","Equals","bool","public",False,False,"object other"
"Vector2","Equals","bool","public",False,False,"Vector2 other"
"Vector2","ToString","string","public",False,False,""
"Vector2","ToString","string","public",False,False,"string format"
"Vector2","Dot","float","public",True,False,"ref Vector2 lhs; ref Vector2 rhs"
"Vector2","Lerp","void","public",True,False,"ref Vector2 a; ref Vector2 b; float t; out Vector2 result"
"Vector2","Scale","void","public",True,False,"ref Vector2 a; ref Vector2 b; out Vector2 result"
"Vector2","Normalize","void","public",True,False,"ref Vector2 value; out Vector2 result"
"SymmetricMatrix","SymmetricMatrix","«ctor»","public",False,False,"double c"
"SymmetricMatrix","SymmetricMatrix","«ctor»","public",False,False,"double m0; double m1; double m2; double m3; double m4; double m5; double m6; double m7; double m8; double m9"
"SymmetricMatrix","SymmetricMatrix","«ctor»","public",False,False,"double a; double b; double c; double d"
"SymmetricMatrix","Determinant1","double","internal",False,False,""
"SymmetricMatrix","Determinant2","double","internal",False,False,""
"SymmetricMatrix","Determinant3","double","internal",False,False,""
"SymmetricMatrix","Determinant4","double","internal",False,False,""
"SymmetricMatrix","Determinant","double","public",False,False,"int a11; int a12; int a13; int a21; int a22; int a23; int a31; int a32; int a33"
"MathHelper","Min","int","public",True,False,"int val1; int val2"
"MathHelper","Min","int","public",True,False,"int val1; int val2; int val3"
"MathHelper","Min","float","public",True,False,"float val1; float val2"
"MathHelper","Min","float","public",True,False,"float val1; float val2; float val3"
"MathHelper","Min","double","public",True,False,"double val1; double val2"
"MathHelper","Min","double","public",True,False,"double val1; double val2; double val3"
"MathHelper","Max","int","public",True,False,"int val1; int val2"
"MathHelper","Max","int","public",True,False,"int val1; int val2; int val3"
"MathHelper","Max","float","public",True,False,"float val1; float val2"
"MathHelper","Max","float","public",True,False,"float val1; float val2; float val3"
"MathHelper","Max","double","public",True,False,"double val1; double val2"
"MathHelper","Max","double","public",True,False,"double val1; double val2; double val3"
"MathHelper","Clamp","float","public",True,False,"float value; float min; float max"
"MathHelper","Clamp","double","public",True,False,"double value; double min; double max"
"MathHelper","Clamp01","float","public",True,False,"float value"
"MathHelper","Clamp01","double","public",True,False,"double value"
"MathHelper","TriangleArea","float","public",True,False,"ref Vector3 p0; ref Vector3 p1; ref Vector3 p2"
"MathHelper","TriangleArea","double","public",True,False,"ref Vector3d p0; ref Vector3d p1; ref Vector3d p2"
"Program","Main","void","private",True,False,"string[] args"
"Program","PrintUsage","void","private",True,False,""
"ObjMesh","ObjMesh","«ctor»","public",False,False,""
"ObjMesh","ObjMesh","«ctor»","public",False,False,"Vector3d[] vertices; int[] indices"
"ObjMesh","ObjMesh","«ctor»","public",False,False,"Vector3d[] vertices; int[][] indices"
"ObjMesh","ReadFile","void","public",False,False,"string path"
"ObjMesh","WriteFile","void","public",False,False,"string path"
"ObjMesh","WriteVertices","void","private",True,False,"TextWriter writer; Vector3d[] vertices"
"ObjMesh","WriteNormals","void","private",True,False,"TextWriter writer; Vector3[] normals"
"ObjMesh","WriteTextureCoords","void","private",True,False,"TextWriter writer; Vector2[] texCoords2D; Vector3[] texCoords3D"
"ObjMesh","WriteSubMeshes","void","private",True,False,"TextWriter writer; int[][] subMeshIndices; string[] subMeshMaterials; bool hasTexCoords; bool hasNormals"
"ObjMesh","WriteFaces","void","private",True,False,"TextWriter writer; int[] indices; bool hasTexCoords; bool hasNormals"
"ObjMesh","ShiftIndex","int","private",True,False,"int value; int count"
"ObjMesh","CountOccurrences","int","private",True,False,"string text; char character"
"FaceIndex","FaceIndex","«ctor»","public",False,False,"int vertexIndex; int texCoordIndex; int normalIndex"
"FaceIndex","GetHashCode","int","public",False,False,""
"FaceIndex","Equals","bool","public",False,False,"object obj"
"FaceIndex","Equals","bool","public",False,False,"FaceIndex other"
"FaceIndex","ToString","string","public",False,False,""
"DecimatedObjectEditor","OnEnable","void","private",False,False,""
"DecimatedObjectEditor","GenerateLODs","void","private",False,False,""
"DecimatedObjectEditor","ResetLODs","void","private",False,False,""
"DecimatedObjectEditor","OnInspectorGUI","void","public",False,False,""
"BoneWeight","BoneWeight","«ctor»","public",False,False,"int boneIndex0; int boneIndex1; int boneIndex2; int boneIndex3; float boneWeight0; float boneWeight1; float boneWeight2; float boneWeight3"
"BoneWeight","MergeBoneWeight","void","private",False,False,"int boneIndex; float weight"
